Alcazar Networks International Rate Deck,,
International Conversational Traffic - NOT DIALER,,
Effective Date: 11/23/2015 12:00AM EST,,
All calls billed by DNIS,,
Billing Interval: interval1 first increment in seconds, interval2 all other increments in seconds
,,
dest description,destination,rate,bill interval 1,bill interval 2
"Afghanistan","93",0.23856,1,1
"Afghanistan Cellular-AT","9375",0.24234,1,1
"Afghanistan Cellular-AWCC","9370",0.11760,1,1
"Afghanistan Cellular-Etisalat","9378",0.20650,1,1
"Afghanistan Cellular-MTN","9376",0.16100,1,1
"Afghanistan Cellular-MTN","9377",0.16100,1,1
"Afghanistan Cellular-Others","937",0.26096,1,1
"Afghanistan Cellular-Roshan","9372",0.17640,1,1
"Afghanistan Cellular-Roshan","9379",0.17640,1,1
"Afghanistan Cellular-Salaam","9374",0.18200,1,1
"Albania","355",0.17878,1,1
"Albania Cellular-AMC","35568",0.32186,1,1
"Albania Cellular-Eagle","35567",0.40026,1,1
"Albania Cellular-Plus","35566",0.38626,1,1
"Albania Cellular-Vodafone","35569",0.32606,1,1
"Albania,AMC","35521160",0.20286,1,1
"Albania,AMC","35521161",0.20286,1,1
"Albania,AMC","35521250",0.20286,1,1
"Albania,AMC","35521340",0.20286,1,1
"Albania,AMC","35521440",0.20286,1,1
"Albania,AMC","3552155",0.20286,1,1
"Albania,AMC","35521650",0.20286,1,1
"Albania,AMC","35521651",0.20286,1,1
"Albania,AMC","35521740",0.20286,1,1
"Albania,AMC","35521741",0.20286,1,1
"Albania,AMC","3552185",0.20286,1,1
"Albania,AMC","35521940",0.20286,1,1
"Albania,AMC","3552253",0.20286,1,1
"Albania,AMC","35522530",0.20286,1,1
"Albania,AMC","3552254",0.20286,1,1
"Albania,AMC","35522540",0.20286,1,1
"Albania,AMC","3552440",0.20286,1,1
"Albania,AMC","35524401",0.20286,1,1
"Albania,AMC","35524402",0.20286,1,1
"Albania,AMC","35524403",0.20286,1,1
"Albania,AMC","35524404",0.20286,1,1
"Albania,AMC","35524405",0.20286,1,1
"Albania,AMC","35524406",0.20286,1,1
"Albania,AMC","35524407",0.20286,1,1
"Albania,AMC","35524408",0.20286,1,1
"Albania,AMC","35524409",0.20286,1,1
"Albania,AMC","35526160",0.20286,1,1
"Albania,AMC","35526250",0.20286,1,1
"Albania,AMC","35526293",0.20286,1,1
"Albania,AMC","35526323",0.20286,1,1
"Albania,AMC","35526350",0.20286,1,1
"Albania,AMC","35526363",0.20286,1,1
"Albania,AMC","35526373",0.20286,1,1
"Albania,AMC","35526383",0.20286,1,1
"Albania,AMC","35526450",0.20286,1,1
"Albania,AMC","35526490",0.20286,1,1
"Albania,AMC","35526523",0.20286,1,1
"Albania,AMC","35526563",0.20286,1,1
"Albania,AMC","35526650",0.20286,1,1
"Albania,AMC","35526673",0.20286,1,1
"Albania,AMC","35526723",0.20286,1,1
"Albania,AMC","35526770",0.20286,1,1
"Albania,AMC","35526840",0.20286,1,1
"Albania,AMC","35526890",0.20286,1,1
"Albania,AMC","35526950",0.20286,1,1
"Albania,AMC","35526970",0.20286,1,1
"Albania,AMC","35526990",0.20286,1,1
"Albania,AMC","35527023",0.20286,1,1
"Albania,AMC","35527043",0.20286,1,1
"Albania,AMC","35527053",0.20286,1,1
"Albania,AMC","35527070",0.20286,1,1
"Albania,AMC","35527140",0.20286,1,1
"Albania,AMC","35527190",0.20286,1,1
"Albania,AMC","35527223",0.20286,1,1
"Albania,AMC","35527253",0.20286,1,1
"Albania,AMC","35527270",0.20286,1,1
"Albania,AMC","35527280",0.20286,1,1
"Albania,AMC","35527323",0.20286,1,1
"Albania,AMC","35527350",0.20286,1,1
"Albania,AMC","35527370",0.20286,1,1
"Albania,AMC","35527390",0.20286,1,1
