"                                                                                                                                                        Address: An Der Ochsenwiese  3
                                                                                                                                                            55124 Mainz, GERMANY
                                                                                                                                                            Email: sales@gemahvoip.de
                                                                                                                                                            Website: www.gemahvoip.de
                                                                                                                                                            Telephone: +49 6131 488 3951",,,"STANDARD PRICELIST                                                               All prices mentioned in this pricelist are exclusive of VAT. All destinations billing increment 1/1.                 Haiti, Kiribati, Mexico, Nauru, Niue, Papua New Guinea, Samoa, Suriname, Tonga, Vanuatu - 60/60                                                                 Gambia - 60/1                                                                Effective from 21 March 2017",,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Destination,Prefix,Rate EUR,Minimal Time,Increment,Route Prefix
Afghanistan,93,0.1565,1,1,00
Afghanistan Mobile,9374,0.1147,1,1,00
Afghanistan Mobile,9375,0.1147,1,1,00
Afghanistan Mobile AWCC,9370,0.0900,1,1,00
Afghanistan Mobile AWCC,9371,0.0900,1,1,00
Afghanistan Mobile Etisalat,9373,0.0438,1,1,00
Afghanistan Mobile Etisalat,9378,0.0438,1,1,00
Afghanistan Mobile MTN,9376,0.0813,1,1,00
Afghanistan Mobile MTN,9377,0.0813,1,1,00
Afghanistan Mobile Roshan,9372,0.0980,1,1,00
Afghanistan Mobile Roshan,9379,0.0980,1,1,00
Albania,355,0.1188,1,1,00
Albania Fixed Albtel,3554252,0.1080,1,1,00
Albania Fixed Albtel,3554251,0.1080,1,1,00
Albania Fixed Albtel,3554250,0.1080,1,1,00
Albania Fixed Albtel,3554249,0.1080,1,1,00
Albania Fixed AMC,35558151,0.1150,1,1,00
Albania Fixed AMC,35558150,0.1150,1,1,00
Albania Fixed AMC,35558073,0.1150,1,1,00
Albania Fixed AMC,35558023,0.1150,1,1,00
Albania Fixed AMC,35557993,0.1150,1,1,00
Albania Fixed AMC,35557963,0.1150,1,1,00
Albania Fixed AMC,35557943,0.1150,1,1,00
Albania Fixed AMC,35557865,0.1150,1,1,00
Albania Fixed AMC,35557843,0.1150,1,1,00
Albania Fixed AMC,35557771,0.1150,1,1,00
Albania Fixed AMC,35557770,0.1150,1,1,00
Albania Fixed AMC,35557543,0.1150,1,1,00
Albania Fixed AMC,35557644,0.1150,1,1,00
Albania Fixed AMC,35557643,0.1150,1,1,00
Albania Fixed AMC,35557584,0.1150,1,1,00
Albania Fixed AMC,35557544,0.1150,1,1,00
Albania Fixed AMC,35558250,0.1150,1,1,00
Albania Fixed AMC,35557494,0.1150,1,1,00
Albania Fixed AMC,35557464,0.1150,1,1,00
Albania Fixed AMC,35557463,0.1150,1,1,00
Albania Fixed AMC,35557390,0.1150,1,1,00
Albania Fixed AMC,35557260,0.1150,1,1,00
Albania Fixed AMC,35557683,0.1150,1,1,00
Albania Fixed AMC,35558323,0.1150,1,1,00
Albania Fixed AMC,35558540,0.1150,1,1,00
Albania Fixed AMC,35558424,0.1150,1,1,00
Albania Fixed AMC,35559240,0.1150,1,1,00
Albania Fixed AMC,35559150,0.1150,1,1,00
Albania Fixed AMC,35558983,0.1150,1,1,00
Albania Fixed AMC,35558953,0.1150,1,1,00
Albania Fixed AMC,35558924,0.1150,1,1,00
Albania Fixed AMC,35558882,0.1150,1,1,00
Albania Fixed AMC,35558852,0.1150,1,1,00
Albania Fixed AMC,35558842,0.1150,1,1,00
