,,,,,,
Price List Date ,6/7/17,,,,,
Sending Member ,PCCW Global Limited,,,,,
Currency ,US Dollars,,,,,
Price List Content ,A-Z,,,,,
,,,,,,
Note:,,,,,,
The Rounding Rules are defined by three parameters separated by dashes: X-Y-Z.,,,,,,
- The first parameter (X) corresponds to the Minimum Duration. It specifies the minimum duration before a call can be charged or rated.,,,,,,
- The second parameter (Y) corresponds to the Initial Rounding. It specifies the initial rounding after a call has passed the minimum duration threshold.,,,,,,
- The third and last parameter (Z) corresponds to the Additional Rounding. It specifies the additional rounding that will be applied to the call once it has gone past the initial rounding threshold. ,,,,,,
,,,,,,
Destination,Dial Codes,Effective Date,Time Band,Rate,Rounding Rules,
Abkhazia,7840,6/7/17,Flat,0.1610,1-1-1,
Abkhazia - Mobile A Mobile,79407,6/7/17,Flat,0.1600,1-1-1,
Abkhazia - Mobile Aquafon,79409,6/7/17,Flat,0.1516,1-1-1,
Afghanistan,93,6/7/17,Flat,0.1688,1-1-1,
Afghanistan - Mobile AT,9374,6/7/17,Flat,0.1733,1-1-1,
Afghanistan - Mobile AT,9375,6/7/17,Flat,0.1733,1-1-1,
Afghanistan - Mobile AWCC,9370,6/7/17,Flat,0.1718,1-1-1,
Afghanistan - Mobile AWCC,9371,6/7/17,Flat,0.1718,1-1-1,
Afghanistan - Mobile Etisalat,9373,6/7/17,Flat,0.1398,1-1-1,
Afghanistan - Mobile Etisalat,9378,6/7/17,Flat,0.1398,1-1-1,
Afghanistan - Mobile MTN,9376,6/7/17,Flat,0.1764,1-1-1,
Afghanistan - Mobile MTN,9377,6/7/17,Flat,0.1764,1-1-1,
Afghanistan - Mobile Roshan,9372,6/7/17,Flat,0.1342,1-1-1,
Afghanistan - Mobile Roshan,9379,6/7/17,Flat,0.1342,1-1-1,
Albania,355,6/7/17,Flat,0.1506,1-1-1,
Albania - Mobile AMC,35568,6/7/17,Flat,0.3200,1-1-1,
Albania - Mobile Eagle,35567,6/7/17,Flat,0.3050,1-1-1,
Albania - Mobile Plus,35566,6/7/17,Flat,0.3290,1-1-1,
Albania - Mobile Vodafone,35569,6/7/17,Flat,0.3410,1-1-1,
Albania - OLO,3554249,6/7/17,Flat,0.1247,1-1-1,
Albania - OLO,3554250,6/7/17,Flat,0.1247,1-1-1,
Albania - OLO,3554251,6/7/17,Flat,0.1247,1-1-1,
Albania - OLO,3554252,6/7/17,Flat,0.1247,1-1-1,
Albania - Tirana,355422,6/7/17,Flat,0.1305,1-1-1,
Albania - Tirana,355423,6/7/17,Flat,0.1305,1-1-1,
Albania - Tirana,355424,6/7/17,Flat,0.1305,1-1-1,
Algeria,213,6/7/17,Flat,0.0590,1-1-1,
Algeria - Cat,2131,6/7/17,Flat,0.0590,1-1-1,
Algeria - Cat,21396190,6/7/17,Flat,0.0590,1-1-1,
Algeria - Cat,21396191,6/7/17,Flat,0.0590,1-1-1,
Algeria - Cat,21396192,6/7/17,Flat,0.0590,1-1-1,
Algeria - Mobile Djezzy,21377,6/7/17,Flat,0.3150,1-1-1,
Algeria - Mobile Djezzy,21378,6/7/17,Flat,0.3150,1-1-1,
Algeria - Mobile Djezzy,21379,6/7/17,Flat,0.3150,1-1-1,
Algeria - Mobile Mobilis,21365,6/7/17,Flat,0.4600,1-1-1,
Algeria - Mobile Mobilis,21366,6/7/17,Flat,0.4600,1-1-1,
Algeria - Mobile Mobilis,21367,6/7/17,Flat,0.4600,1-1-1,
Algeria - Mobile Mobilis,21368,6/7/17,Flat,0.4600,1-1-1,
Algeria - Mobile Mobilis,21369,6/7/17,Flat,0.4600,1-1-1,
Algeria - Mobile Ooredoo,2135,6/7/17,Flat,0.4950,1-1-1,
Algeria - Voip,213982,6/7/17,Flat,0.0660,1-1-1,
Algeria - Voip,213983,6/7/17,Flat,0.0660,1-1-1,
American Samoa,1684,6/7/17,Flat,0.0237,1-1-1,
Andorra,376,6/7/17,Flat,0.0123,1-1-1,
Andorra - Mobile,3763,6/7/17,Flat,0.1607,1-1-1,
Andorra - Mobile,3764,6/7/17,Flat,0.1607,1-1-1,
Andorra - Mobile,3765,6/7/17,Flat,0.1607,1-1-1,
Andorra - Mobile,3766,6/7/17,Flat,0.1607,1-1-1,
Angola,244,6/7/17,Flat,0.0440,1-1-1,
Angola - Mobile Movicel,24491,6/7/17,Flat,0.1350,1-1-1,
Angola - Mobile Movicel,24499,6/7/17,Flat,0.1350,1-1-1,
Angola - Mobile Unitel,24492,6/7/17,Flat,0.1250,1-1-1,
Angola - Mobile Unitel,24493,6/7/17,Flat,0.1250,1-1-1,
Angola - Mobile Unitel,24494,6/7/17,Flat,0.1250,1-1-1,
Anguilla,1264,6/7/17,Flat,0.2050,1-1-1,
Anguilla - Mobile,1264235,6/7/17,Flat,0.2199,1-1-1,
Anguilla - Mobile,1264469,6/7/17,Flat,0.2199,1-1-1,
Anguilla - Mobile,1264476,6/7/17,Flat,0.2199,1-1-1,
Anguilla - Mobile,1264536,6/7/17,Flat,0.2199,1-1-1,
Anguilla - Mobile,1264537,6/7/17,Flat,0.2199,1-1-1,
Anguilla - Mobile,1264538,6/7/17,Flat,0.2199,1-1-1,
Anguilla - Mobile,1264543,6/7/17,Flat,0.2199,1-1-1,
Anguilla - Mobile,1264581,6/7/17,Flat,0.2199,1-1-1,
Anguilla - Mobile,1264582,6/7/17,Flat,0.2199,1-1-1,
Anguilla - Mobile,1264583,6/7/17,Flat,0.2199,1-1-1,
Anguilla - Mobile,1264584,6/7/17,Flat,0.2199,1-1-1,
Anguilla - Mobile,1264729,6/7/17,Flat,0.2199,1-1-1,
Anguilla - Mobile,1264772,6/7/17,Flat,0.2199,1-1-1,
Antarctica,6721,6/7/17,Flat,0.8600,1-1-1,
Antigua and Barbuda,1268,6/7/17,Flat,0.1805,1-1-1,
Argentina,54,6/7/17,Flat,0.0336,1-1-1,
Argentina - Buenos Aires,5411,6/7/17,Flat,0.0021,1-1-1,
Argentina - Corridor,54221,6/7/17,Flat,0.0207,1-1-1,
Argentina - Corridor,54223,6/7/17,Flat,0.0207,1-1-1,
Argentina - Corridor,54230,6/7/17,Flat,0.0207,1-1-1,
Argentina - Corridor,54232,6/7/17,Flat,0.0207,1-1-1,
Argentina - Corridor,54261,6/7/17,Flat,0.0207,1-1-1,
Argentina - Corridor,54291,6/7/17,Flat,0.0207,1-1-1,
Argentina - Corridor,54299,6/7/17,Flat,0.0207,1-1-1,
Argentina - Corridor,54341,6/7/17,Flat,0.0207,1-1-1,
Argentina - Corridor,54342,6/7/17,Flat,0.0207,1-1-1,
Argentina - Corridor,54348,6/7/17,Flat,0.0207,1-1-1,
Argentina - Corridor,54351,6/7/17,Flat,0.0207,1-1-1,
Argentina - Corridor,54353,6/7/17,Flat,0.0207,1-1-1,
Argentina - Corridor,54354,6/7/17,Flat,0.0207,1-1-1,
Argentina - Corridor,54358,6/7/17,Flat,0.0207,1-1-1,
Argentina - Corridor,54381,6/7/17,Flat,0.0207,1-1-1,
Argentina - Corridor,54387,6/7/17,Flat,0.0207,1-1-1,
Argentina - Mobile,549,6/7/17,Flat,0.1651,1-1-1,
Armenia,374,6/7/17,Flat,0.2100,1-1-1,
Armenia - Mobile Armentel,37491,6/7/17,Flat,0.1950,1-1-1,
Armenia - Mobile Armentel,37496,6/7/17,Flat,0.1950,1-1-1,
Armenia - Mobile Armentel,37499,6/7/17,Flat,0.1950,1-1-1,
Armenia - Mobile Karabakh,37497,6/7/17,Flat,0.1286,1-1-1,
Armenia - Mobile Orange,37455,6/7/17,Flat,0.1929,1-1-1,
Armenia - Mobile Orange,37495,6/7/17,Flat,0.1929,1-1-1,
Armenia - Mobile Vivacell,37477,6/7/17,Flat,0.1980,1-1-1,
Armenia - Mobile Vivacell,37493,6/7/17,Flat,0.1980,1-1-1,
Armenia - Mobile Vivacell,37494,6/7/17,Flat,0.1980,1-1-1,
Armenia - Mobile Vivacell,37498,6/7/17,Flat,0.1980,1-1-1,
Armenia - Nagorny Karabakh,37447,6/7/17,Flat,0.0870,1-1-1,
Armenia - Yerevan,37410,6/7/17,Flat,0.1413,1-1-1,
Aruba,297,6/7/17,Flat,0.1866,1-1-1,
Aruba - Mobile Digicel,29763,6/7/17,Flat,0.1862,1-1-1,
Aruba - Mobile Digicel,29764,6/7/17,Flat,0.1862,1-1-1,
Aruba - Mobile Digicel,29773,6/7/17,Flat,0.1862,1-1-1,
