DESTINATION,CODE,PRICE,CHANGES,"EFFECTIVE DATE"
"DOMINICAN REPUBLIC FIXED",1809,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",1809179,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809200,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809201,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",1809202,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809203,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809204,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809205,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809206,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809207,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809208,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809209,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809210,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809212,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",1809213,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809214,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809215,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809216,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809217,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809218,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809219,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",1809220,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",1809221,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",1809222,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092220,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092221,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092222,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",18092223,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",18092224,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",18092225,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092226,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092227,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092228,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180922291,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180922292,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180922293,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180922294,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180922295,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180922296,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180922297,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180922298,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180922299,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809223,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809224,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809225,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTIAGO",1809226,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",1809227,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809228,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809229,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809230,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",1809231,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809232,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTIAGO",1809233,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",1809234,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809235,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",1809236,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",1809237,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",1809238,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",1809239,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092403,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180924093,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTIAGO",1809241,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTIAGO",18092427,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180924300,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180924301,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180924302,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180924305,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180924306,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180924307,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092433,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092435,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180924350,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180924351,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180924352,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180924353,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180924354,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180924355,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180924356,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092438,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",1809245,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTIAGO",1809247,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809248,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",18092480,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",18092482,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",18092484,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",18092485,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",18092486,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",18092487,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",18092488,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809249,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809250,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809251,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809252,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809253,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809254,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",1809255,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092550,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092551,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092552,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092553,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092554,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092555,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092556,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092557,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092558,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180925590,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180925591,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180925592,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180925593,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180925594,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180925595,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180925596,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180925597,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180925598,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809256,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809257,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809258,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809259,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809260,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",1809262,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",1809263,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809264,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809265,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809266,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809267,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809268,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809269,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809270,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809271,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809272,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",1809273,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",1809274,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTIAGO",1809275,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTIAGO",1809276,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809280,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809281,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809282,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809283,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC MOBILE",1809284,0.053000,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",1809285,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092850,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092851,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092852,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092853,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092854,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",18092855,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180928560,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180928564,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180928565,0.016700,new,2017-06-27
"DOMINICAN REPUBLIC FIXED SANTO DOMINGO",180928566,0.016700,new,2017-06-27
