DESTINATION,DESTINATION CODE,EFFECTIVE DATE,RATES (US$),STATUS,BILLING INCREMENT,DELETION DATE
Abkhazia,7840,8-Jun-17,0.1977,Increase, 1/1,
Abkhazia - Mobile,7940,1-Jun-17,0.2222,Same, 1/1,
Abkhazia - Mobile - A Mobile,79407,1-Jun-17,0.194,Same, 1/1,
Abkhazia - Mobile - Aquafon,79409,1-Jun-17,0.1921,Same, 1/1,
Afghanistan,93,1-Jun-17,0.1634,Same, 1/1,
Afghanistan - Mobile - AT,9375,1-Jun-17,0.1615,Same, 1/1,
Afghanistan - Mobile - AWCC,9370,1-Jun-17,0.1625,Same, 1/1,
Afghanistan - Mobile - AWCC,9371,1-Jun-17,0.1625,Same, 1/1,
Afghanistan - Mobile - Etisalat,9373,1-Jun-17,0.145,Same, 1/1,
Afghanistan - Mobile - Etisalat,9378,1-Jun-17,0.145,Same, 1/1,
Afghanistan - Mobile - MTN,9376,1-Jun-17,0.1649,Same, 1/1,
Afghanistan - Mobile - MTN,9377,1-Jun-17,0.1649,Same, 1/1,
Afghanistan - Mobile - Roshan,9372,1-Jun-17,0.151,Same, 1/1,
Afghanistan - Mobile - Roshan,9379,1-Jun-17,0.151,Same, 1/1,
Afghanistan - Mobile - Salaam,9374,1-Jun-17,0.1619,Same, 1/1,
Albania,355,1-Jun-17,0.12,Same, 1/1,
Albania - AMC,3552155,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3552185,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3553270,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3553350,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3553351,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3553490,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3553491,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3553560,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3554630,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3554631,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3554632,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3554633,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3555114,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3555263,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3555264,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3555370,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3555490,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3555491,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3555540,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3558290,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3558291,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3558340,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3558460,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,3558550,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35521160,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35521161,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35521250,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35521340,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35521440,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35521650,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35521651,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35521740,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35521741,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35521940,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35522530,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35522540,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35524400,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35524401,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35524402,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35524403,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35524404,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35524405,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35524406,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35524407,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35524408,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35524409,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35526160,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35526250,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35526293,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35526323,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35526350,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35526363,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35526373,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35526383,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35526450,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35526490,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35526523,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35526563,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35526650,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35526673,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35526723,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35526770,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35526840,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35526890,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35526950,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35526970,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35526990,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35527023,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35527043,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35527053,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35527070,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35527140,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35527190,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35527223,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35527253,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35527270,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35527323,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35527350,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35527370,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35527390,1-Jun-17,0.1307,Same, 1/1,
Albania - AMC,35527440,1-Jun-17,0.1307,Same, 1/1,
