DESTINATION,PREFEX,SELLING RATE,RATES (US$)
Abkhazia,7840,0.273,0.182
Abkhazia - Mobile,7940,0.34665,0.2311
Abkhazia - Mobile - A Mobile,79407,0.3027,0.2018
Abkhazia - Mobile - Aquafon,79409,0.3027,0.2018
Afghanistan,93,0.2574,0.1716
Afghanistan - Mobile - AT,9375,0.252,0.168
Afghanistan - Mobile - AWCC,9370,0.2535,0.169
Afghanistan - Mobile - AWCC,9371,0.2535,0.169
Afghanistan - Mobile - Etisalat,9373,0.2262,0.1508
Afghanistan - Mobile - Etisalat,9378,0.2262,0.1508
Afghanistan - Mobile - MTN,9376,0.25725,0.1715
Afghanistan - Mobile - MTN,9377,0.25725,0.1715
Afghanistan - Mobile - Roshan,9372,0.2511,0.1674
Afghanistan - Mobile - Roshan,9379,0.2511,0.1674
Afghanistan - Mobile - Salaam,9374,0.2526,0.1684
Albania,355,0.1872,0.1248
Albania - AMC,35521160,0.20595,0.1373
Albania - AMC,35521161,0.20595,0.1373
Albania - AMC,35521250,0.20595,0.1373
Albania - AMC,35521340,0.20595,0.1373
Albania - AMC,35521440,0.20595,0.1373
Albania - AMC,3552155,0.20595,0.1373
Albania - AMC,35521650,0.20595,0.1373
Albania - AMC,35521651,0.20595,0.1373
Albania - AMC,35521740,0.20595,0.1373
Albania - AMC,35521741,0.20595,0.1373
Albania - AMC,3552185,0.20595,0.1373
Albania - AMC,35521940,0.20595,0.1373
Albania - AMC,35522530,0.20595,0.1373
Albania - AMC,35522540,0.20595,0.1373
Albania - AMC,35524400,0.20595,0.1373
Albania - AMC,35524401,0.20595,0.1373
Albania - AMC,35524402,0.20595,0.1373
Albania - AMC,35524403,0.20595,0.1373
Albania - AMC,35524404,0.20595,0.1373
Albania - AMC,35524405,0.20595,0.1373
Albania - AMC,35524406,0.20595,0.1373
Albania - AMC,35524407,0.20595,0.1373
Albania - AMC,35524408,0.20595,0.1373
Albania - AMC,35524409,0.20595,0.1373
Albania - AMC,35526160,0.20595,0.1373
Albania - AMC,35526250,0.20595,0.1373
Albania - AMC,35526293,0.20595,0.1373
Albania - AMC,35526323,0.20595,0.1373
Albania - AMC,35526350,0.20595,0.1373
Albania - AMC,35526363,0.20595,0.1373
Albania - AMC,35526373,0.20595,0.1373
Albania - AMC,35526383,0.20595,0.1373
Albania - AMC,35526450,0.20595,0.1373
Albania - AMC,35526490,0.20595,0.1373
Albania - AMC,35526523,0.20595,0.1373
