DESTINATION,DESTINATION CODE,EFFECTIVE DATE,RATES (US$),STATUS,BILLING INCREMENT,DELETION DATE
Abkhazia,7840,07-Jun-17,0.1614,Same, 1/1,
Abkhazia - Mobile,7940,07-Jun-17,0.1529,Same, 1/1,
Abkhazia - Mobile - A Mobile,79407,07-Jun-17,0.1484,Same, 1/1,
Abkhazia - Mobile - Aquafon,79409,07-Jun-17,0.1675,Pending Increase, 1/1,
Afghanistan,93,07-Jun-17,0.1634,Same, 1/1,
Afghanistan - Mobile - AT,9375,07-Jun-17,0.1089,Same, 1/1,
Afghanistan - Mobile - AWCC,9370,07-Jun-17,0.0455,Same, 1/1,
Afghanistan - Mobile - AWCC,9371,07-Jun-17,0.0455,Same, 1/1,
Afghanistan - Mobile - Etisalat,9373,07-Jun-17,0.0199,Same, 1/1,
Afghanistan - Mobile - Etisalat,9378,07-Jun-17,0.0199,Same, 1/1,
Afghanistan - Mobile - MTN,9376,07-Jun-17,0.0757,Same, 1/1,
Afghanistan - Mobile - MTN,9377,07-Jun-17,0.0757,Same, 1/1,
Afghanistan - Mobile - Roshan,9372,07-Jun-17,0.0849,Decrease, 1/1,
Afghanistan - Mobile - Roshan,9379,07-Jun-17,0.0849,Decrease, 1/1,
Afghanistan - Mobile - Salaam,9374,07-Jun-17,0.0529,Decrease, 1/1,
Albania,355,07-Jun-17,0.12,Same, 1/1,
Albania - AMC,35521160,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35521161,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35521250,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35521340,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35521440,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3552155,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35521650,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35521651,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35521740,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35521741,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3552185,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35521940,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35522530,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35522540,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35524400,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35524401,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35524402,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35524403,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35524404,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35524405,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35524406,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35524407,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35524408,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35524409,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35526160,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35526250,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35526293,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35526323,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35526350,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35526363,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35526373,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35526383,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35526450,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35526490,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35526523,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35526563,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35526650,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35526673,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35526723,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35526770,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35526840,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35526890,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35526950,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35526970,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35526990,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35527023,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35527043,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35527053,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35527070,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35527140,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35527190,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35527223,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35527253,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35527270,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35527323,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35527350,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35527370,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35527390,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35527440,07-Jun-17,0.1285,Same, 1/1,
